wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
520.00,0.020554,0.044085,0.066344,0.093852,0.115215
519.00,0.020418,0.043572,0.065469,0.092497,0.113790
518.00,0.020238,0.042928,0.064300,0.090839,0.111645
517.00,0.019997,0.041982,0.063471,0.089687,0.110460
516.00,0.019570,0.041613,0.062293,0.088152,0.108582
515.00,0.019141,0.040840,0.061530,0.086972,0.106985
514.00,0.019036,0.040336,0.060706,0.085830,0.105676
513.00,0.018679,0.039900,0.060083,0.084647,0.104367
512.00,0.018440,0.039433,0.059235,0.083567,0.102909
511.00,0.018316,0.038892,0.058516,0.082776,0.101886
510.00,0.017737,0.038113,0.057430,0.081405,0.100366
509.00,0.017669,0.037716,0.056863,0.080410,0.099075
508.00,0.017416,0.037443,0.056245,0.079425,0.097958
507.00,0.017043,0.036922,0.055574,0.078900,0.097079
506.00,0.017116,0.036550,0.055161,0.078007,0.096165
505.00,0.016867,0.036357,0.054559,0.077398,0.095498
504.00,0.017152,0.036206,0.054281,0.076937,0.095046
503.00,0.016703,0.035404,0.053731,0.076055,0.094015
502.00,0.016287,0.034871,0.052991,0.075357,0.093040
501.00,0.016235,0.035184,0.052789,0.075223,0.093011
500.00,0.016077,0.034755,0.052438,0.074303,0.092021
499.00,0.015876,0.034310,0.052069,0.074179,0.091627
498.00,0.015905,0.034362,0.051958,0.073841,0.091714
497.00,0.015787,0.034087,0.051829,0.073692,0.091369
496.00,0.015746,0.034085,0.051464,0.073449,0.090891
495.00,0.015482,0.033708,0.051144,0.073091,0.090423
494.00,0.015442,0.033616,0.050962,0.072990,0.090228
493.00,0.015422,0.033473,0.050933,0.072783,0.090192
492.00,0.015153,0.033229,0.050653,0.072408,0.089874
491.00,0.015242,0.033433,0.050717,0.072618,0.090230
490.00,0.015271,0.033383,0.050715,0.072577,0.089957
489.00,0.015017,0.032965,0.050349,0.072252,0.089404
488.00,0.014969,0.033011,0.050441,0.072219,0.089705
487.00,0.015048,0.032999,0.050507,0.072402,0.089764
486.00,0.015089,0.033145,0.050489,0.072259,0.089846
485.00,0.014896,0.032980,0.050358,0.072094,0.089682
484.00,0.014923,0.032913,0.050328,0.072245,0.089717
483.00,0.015024,0.033116,0.050540,0.072358,0.090004
482.00,0.014920,0.033056,0.050512,0.072410,0.089972
481.00,0.014772,0.032779,0.050164,0.072071,0.089657
480.00,0.014830,0.032815,0.050321,0.072231,0.089961
479.00,0.014754,0.032831,0.050433,0.072387,0.090187
478.00,0.014748,0.032989,0.050432,0.072495,0.090117
477.00,0.014863,0.032851,0.050454,0.072722,0.090427
476.00,0.014812,0.032902,0.050565,0.072619,0.090489
475.00,0.014715,0.032764,0.050415,0.072745,0.090505
474.00,0.014819,0.033123,0.050610,0.072836,0.090801
473.00,0.014777,0.033069,0.050730,0.073086,0.090962
472.00,0.014864,0.033051,0.050685,0.073057,0.091061
471.00,0.014793,0.033162,0.051069,0.073266,0.091326
470.00,0.015054,0.033301,0.051041,0.073512,0.091586
469.00,0.014989,0.033177,0.051131,0.073444,0.091696
468.00,0.014894,0.033403,0.051102,0.073859,0.092201
467.00,0.015047,0.033368,0.051298,0.073997,0.092075
466.00,0.015018,0.033450,0.051296,0.074028,0.092156
465.00,0.015043,0.033448,0.051554,0.074093,0.092425
464.00,0.015026,0.033546,0.051530,0.074345,0.092445
463.00,0.015166,0.033694,0.051582,0.074354,0.092604
462.00,0.015041,0.033550,0.051394,0.074059,0.092199
461.00,0.015155,0.033565,0.051735,0.074233,0.092433
460.00,0.015259,0.033814,0.051780,0.074398,0.092598
459.00,0.015202,0.033712,0.051617,0.074319,0.092403
458.00,0.015288,0.033862,0.051872,0.074673,0.092879
457.00,0.015281,0.033849,0.051807,0.074596,0.092554
456.00,0.015500,0.033971,0.051927,0.074397,0.092501
455.00,0.015440,0.033906,0.051941,0.074558,0.092578
454.00,0.015378,0.033822,0.051572,0.074286,0.092142
453.00,0.015079,0.033652,0.051610,0.074055,0.092035
452.00,0.015265,0.033736,0.051482,0.073971,0.091834
451.00,0.015335,0.033748,0.051695,0.074019,0.091921
450.00,0.015144,0.033652,0.051451,0.073725,0.091568
449.00,0.015266,0.033743,0.051525,0.073796,0.091582
448.00,0.015349,0.033922,0.051609,0.074003,0.091760
447.00,0.015230,0.033709,0.051503,0.073802,0.091751
446.00,0.015146,0.033700,0.051283,0.073615,0.091465
445.00,0.015427,0.033807,0.051500,0.073687,0.091457
444.00,0.015548,0.033951,0.051604,0.074023,0.091614
443.00,0.015542,0.033890,0.051502,0.074035,0.091648
442.00,0.015330,0.033687,0.051437,0.073764,0.091409
441.00,0.015619,0.033908,0.051663,0.073856,0.091675
440.00,0.015660,0.033965,0.051890,0.073965,0.091905
439.00,0.015573,0.034102,0.051798,0.074315,0.092235
438.00,0.015715,0.034215,0.052045,0.074498,0.092332
437.00,0.015682,0.034358,0.052114,0.074573,0.092546
436.00,0.015718,0.034445,0.052437,0.074892,0.092793
435.00,0.015960,0.034642,0.052444,0.075209,0.093276
434.00,0.016038,0.034770,0.052903,0.075681,0.093696
433.00,0.015986,0.034810,0.053015,0.075937,0.093983
432.00,0.016084,0.034933,0.053225,0.076059,0.094376
431.00,0.016032,0.035300,0.053491,0.076634,0.095012
430.00,0.016359,0.035510,0.053987,0.077081,0.095544
429.00,0.016207,0.035550,0.054083,0.077452,0.095922
428.00,0.016536,0.035817,0.054394,0.078032,0.096552
427.00,0.016456,0.035978,0.054740,0.078269,0.097193
426.00,0.016416,0.036150,0.055142,0.079039,0.097715
425.00,0.016695,0.036693,0.055580,0.079818,0.098759
424.00,0.017073,0.037016,0.056125,0.080433,0.099490
423.00,0.017270,0.037287,0.056721,0.081010,0.100264
422.00,0.017029,0.037590,0.057060,0.081739,0.101251
421.00,0.017381,0.037997,0.057949,0.082755,0.102385
420.00,0.017670,0.038387,0.058320,0.083497,0.103359
419.00,0.018031,0.038952,0.059279,0.084577,0.104432
418.00,0.017994,0.039279,0.059731,0.085357,0.105515
417.00,0.018052,0.039444,0.060047,0.086092,0.106335
